task_id,benchmark,policy,cost_model,n_steps,n_compactions,total_prompt_tokens,total_cached_tokens,total_completion_tokens,lifetime_cost,uncached_dollars,cached_dollars,output_dollars,compaction_dollars
ac_agentic_coding_8k-00000,ac_agentic_coding_8k,none,anthropic/claude-haiku-4-5,12,0,111246,96795,2486,0.036560499999999996,0.014451,0.0096795,0.01243,0.0
ac_agentic_coding_8k-00000,ac_agentic_coding_8k,none,anthropic/claude-sonnet-4-6,12,0,111246,96795,2486,0.10968149999999999,0.043353,0.0290385,0.03729,0.0
ac_agentic_coding_8k-00000,ac_agentic_coding_8k,none,openai/gpt-4.1-mini,12,0,111246,96795,2486,0.019437500000000003,0.005780400000000001,0.0096795,0.0039776,0.0
ac_agentic_coding_8k-00000,ac_agentic_coding_8k,none,openai/gpt-4.1,12,0,111246,96795,2486,0.09718750000000001,0.028902,0.0483975,0.019888,0.0
ac_agentic_coding_8k-00000,ac_agentic_coding_8k,none,qwen/qwen3-30b-a3b,12,0,111246,96795,2486,0.0031588500000000004,0.0014451000000000002,0.0009679500000000001,0.0007457999999999999,0.0
ac_agentic_coding_8k-00000,ac_agentic_coding_8k,naive_summary,anthropic/claude-haiku-4-5,12,10,89284,68011,2486,0.0668591,0.021273,0.0068011,0.01243,0.026355
ac_agentic_coding_8k-00000,ac_agentic_coding_8k,naive_summary,anthropic/claude-sonnet-4-6,12,10,89284,68011,2486,0.2005773,0.063819,0.0204033,0.03729,0.079065
ac_agentic_coding_8k-00000,ac_agentic_coding_8k,naive_summary,openai/gpt-4.1-mini,12,10,89284,68011,2486,0.029829900000000003,0.008509200000000001,0.0068011,0.0039776,0.010542
ac_agentic_coding_8k-00000,ac_agentic_coding_8k,naive_summary,openai/gpt-4.1,12,10,89284,68011,2486,0.1491495,0.042546,0.0340055,0.019888,0.05271
ac_agentic_coding_8k-00000,ac_agentic_coding_8k,naive_summary,qwen/qwen3-30b-a3b,12,10,89284,68011,2486,0.00618871,0.0021273000000000004,0.00068011,0.0007457999999999999,0.0026355
ac_agentic_coding_8k-00000,ac_agentic_coding_8k,microcompact,anthropic/claude-haiku-4-5,12,1,54036,38659,2486,0.038674900000000005,0.015377,0.0038659000000000002,0.01243,0.007002
ac_agentic_coding_8k-00000,ac_agentic_coding_8k,microcompact,anthropic/claude-sonnet-4-6,12,1,54036,38659,2486,0.11602469999999998,0.046131,0.011597699999999999,0.03729,0.021006
ac_agentic_coding_8k-00000,ac_agentic_coding_8k,microcompact,openai/gpt-4.1-mini,12,1,54036,38659,2486,0.0167951,0.0061508000000000005,0.0038659000000000002,0.0039776,0.0028008
ac_agentic_coding_8k-00000,ac_agentic_coding_8k,microcompact,openai/gpt-4.1,12,1,54036,38659,2486,0.08397550000000001,0.030754,0.0193295,0.019888,0.014004
ac_agentic_coding_8k-00000,ac_agentic_coding_8k,microcompact,qwen/qwen3-30b-a3b,12,1,54036,38659,2486,0.0033702899999999997,0.0015377000000000001,0.00038659,0.0007457999999999999,0.0007002
ac_agentic_coding_8k-00000,ac_agentic_coding_8k,prefix_preserving,anthropic/claude-haiku-4-5,12,3,110314,92919,2486,0.040393899999999996,0.017395,0.009291899999999999,0.01243,0.001277
ac_agentic_coding_8k-00000,ac_agentic_coding_8k,prefix_preserving,anthropic/claude-sonnet-4-6,12,3,110314,92919,2486,0.1211817,0.052185,0.0278757,0.03729,0.003831
ac_agentic_coding_8k-00000,ac_agentic_coding_8k,prefix_preserving,openai/gpt-4.1-mini,12,3,110314,92919,2486,0.020738299999999998,0.006958,0.009291899999999999,0.0039776,0.0005108000000000001
ac_agentic_coding_8k-00000,ac_agentic_coding_8k,prefix_preserving,openai/gpt-4.1,12,3,110314,92919,2486,0.1036915,0.03479,0.0464595,0.019888,0.002554
ac_agentic_coding_8k-00000,ac_agentic_coding_8k,prefix_preserving,qwen/qwen3-30b-a3b,12,3,110314,92919,2486,0.00354219,0.0017395,0.0009291900000000001,0.0007457999999999999,0.00012770000000000001
ac_agentic_coding_8k-00000,ac_agentic_coding_8k,boundary_aware,anthropic/claude-haiku-4-5,12,0,111246,96795,2486,0.036560499999999996,0.014451,0.0096795,0.01243,0.0
ac_agentic_coding_8k-00000,ac_agentic_coding_8k,boundary_aware,anthropic/claude-sonnet-4-6,12,0,111246,96795,2486,0.10968149999999999,0.043353,0.0290385,0.03729,0.0
ac_agentic_coding_8k-00000,ac_agentic_coding_8k,boundary_aware,openai/gpt-4.1-mini,12,0,111246,96795,2486,0.019437500000000003,0.005780400000000001,0.0096795,0.0039776,0.0
ac_agentic_coding_8k-00000,ac_agentic_coding_8k,boundary_aware,openai/gpt-4.1,12,0,111246,96795,2486,0.09718750000000001,0.028902,0.0483975,0.019888,0.0
ac_agentic_coding_8k-00000,ac_agentic_coding_8k,boundary_aware,qwen/qwen3-30b-a3b,12,0,111246,96795,2486,0.0031588500000000004,0.0014451000000000002,0.0009679500000000001,0.0007457999999999999,0.0
ac_agentic_coding_8k-00001,ac_agentic_coding_8k,none,anthropic/claude-haiku-4-5,10,0,110445,95214,1965,0.0345774,0.015231,0.0095214,0.009825,0.0
ac_agentic_coding_8k-00001,ac_agentic_coding_8k,none,anthropic/claude-sonnet-4-6,10,0,110445,95214,1965,0.1037322,0.045693,0.0285642,0.029475,0.0
ac_agentic_coding_8k-00001,ac_agentic_coding_8k,none,openai/gpt-4.1-mini,10,0,110445,95214,1965,0.0187578,0.0060924,0.0095214,0.003144,0.0
ac_agentic_coding_8k-00001,ac_agentic_coding_8k,none,openai/gpt-4.1,10,0,110445,95214,1965,0.093789,0.030462,0.047607,0.01572,0.0
ac_agentic_coding_8k-00001,ac_agentic_coding_8k,none,qwen/qwen3-30b-a3b,10,0,110445,95214,1965,0.00306474,0.0015231,0.00095214,0.0005895,0.0
ac_agentic_coding_8k-00001,ac_agentic_coding_8k,naive_summary,anthropic/claude-haiku-4-5,10,8,77345,58719,1965,0.050919900000000004,0.018626,0.0058719,0.009825,0.016597
ac_agentic_coding_8k-00001,ac_agentic_coding_8k,naive_summary,anthropic/claude-sonnet-4-6,10,8,77345,58719,1965,0.1527597,0.055878,0.0176157,0.029475,0.049791
ac_agentic_coding_8k-00001,ac_agentic_coding_8k,naive_summary,openai/gpt-4.1-mini,10,8,77345,58719,1965,0.0231051,0.0074504,0.0058719,0.003144,0.0066388
ac_agentic_coding_8k-00001,ac_agentic_coding_8k,naive_summary,openai/gpt-4.1,10,8,77345,58719,1965,0.1155255,0.037252,0.0293595,0.01572,0.033194
ac_agentic_coding_8k-00001,ac_agentic_coding_8k,naive_summary,qwen/qwen3-30b-a3b,10,8,77345,58719,1965,0.00469899,0.0018626,0.00058719,0.0005895,0.0016597
ac_agentic_coding_8k-00001,ac_agentic_coding_8k,microcompact,anthropic/claude-haiku-4-5,10,2,58217,36273,1965,0.046685300000000006,0.021944,0.0036273,0.009825,0.011289
ac_agentic_coding_8k-00001,ac_agentic_coding_8k,microcompact,anthropic/claude-sonnet-4-6,10,2,58217,36273,1965,0.1400559,0.065832,0.0108819,0.029475,0.033867
ac_agentic_coding_8k-00001,ac_agentic_coding_8k,microcompact,openai/gpt-4.1-mini,10,2,58217,36273,1965,0.020064500000000002,0.0087776,0.0036273,0.003144,0.004515600000000001
ac_agentic_coding_8k-00001,ac_agentic_coding_8k,microcompact,openai/gpt-4.1,10,2,58217,36273,1965,0.10032250000000001,0.043888,0.0181365,0.01572,0.022578
ac_agentic_coding_8k-00001,ac_agentic_coding_8k,microcompact,qwen/qwen3-30b-a3b,10,2,58217,36273,1965,0.0042755300000000005,0.0021944,0.00036273,0.0005895,0.0011289000000000002
ac_agentic_coding_8k-00001,ac_agentic_coding_8k,prefix_preserving,anthropic/claude-haiku-4-5,10,1,110445,95214,1965,0.0350744,0.015231,0.0095214,0.009825,0.000497
ac_agentic_coding_8k-00001,ac_agentic_coding_8k,prefix_preserving,anthropic/claude-sonnet-4-6,10,1,110445,95214,1965,0.1052232,0.045693,0.0285642,0.029475,0.001491
ac_agentic_coding_8k-00001,ac_agentic_coding_8k,prefix_preserving,openai/gpt-4.1-mini,10,1,110445,95214,1965,0.0189566,0.0060924,0.0095214,0.003144,0.0001988
ac_agentic_coding_8k-00001,ac_agentic_coding_8k,prefix_preserving,openai/gpt-4.1,10,1,110445,95214,1965,0.09478299999999999,0.030462,0.047607,0.01572,0.000994
ac_agentic_coding_8k-00001,ac_agentic_coding_8k,prefix_preserving,qwen/qwen3-30b-a3b,10,1,110445,95214,1965,0.00311444,0.0015231,0.00095214,0.0005895,4.97e-05
ac_agentic_coding_8k-00001,ac_agentic_coding_8k,boundary_aware,anthropic/claude-haiku-4-5,10,0,110445,95214,1965,0.0345774,0.015231,0.0095214,0.009825,0.0
ac_agentic_coding_8k-00001,ac_agentic_coding_8k,boundary_aware,anthropic/claude-sonnet-4-6,10,0,110445,95214,1965,0.1037322,0.045693,0.0285642,0.029475,0.0
ac_agentic_coding_8k-00001,ac_agentic_coding_8k,boundary_aware,openai/gpt-4.1-mini,10,0,110445,95214,1965,0.0187578,0.0060924,0.0095214,0.003144,0.0
ac_agentic_coding_8k-00001,ac_agentic_coding_8k,boundary_aware,openai/gpt-4.1,10,0,110445,95214,1965,0.093789,0.030462,0.047607,0.01572,0.0
ac_agentic_coding_8k-00001,ac_agentic_coding_8k,boundary_aware,qwen/qwen3-30b-a3b,10,0,110445,95214,1965,0.00306474,0.0015231,0.00095214,0.0005895,0.0
ac_agentic_coding_8k-00002,ac_agentic_coding_8k,none,anthropic/claude-haiku-4-5,7,0,56044,45574,1521,0.0226324,0.01047,0.0045574000000000005,0.007605,0.0
