task_id,policy,step,n_messages,shared_blocks,curr_blocks,uncached_blocks,is_compaction
ac_code_qa_8k-00128,recorded,0,1,0,1,1,0
ac_code_qa_8k-00128,recorded,1,3,0,1,1,0
ac_code_qa_8k-00128,recorded,2,5,0,1,1,0
ac_code_qa_8k-00128,recorded,3,7,0,1,1,0
ac_code_qa_8k-00128,recorded,4,9,0,1,1,0
ac_code_qa_8k-00128,recorded,5,11,0,1,1,0
ac_code_qa_8k-00128,recorded,6,13,0,1,1,0
ac_code_qa_8k-00128,recorded,7,15,0,1,1,0
ac_code_qa_8k-00128,recorded,8,17,0,1,1,0
ac_code_qa_8k-00128,recorded,9,19,0,1,1,0
ac_code_qa_8k-00128,recorded,10,21,0,1,1,0
ac_code_qa_8k-00128,recorded,11,23,0,1,1,0
ac_code_qa_8k-00128,recorded,12,25,0,1,1,0
ac_code_qa_8k-00128,recorded,13,27,0,1,1,0
ac_code_qa_8k-00128,recorded,14,29,0,1,1,0
ac_code_qa_8k-00128,recorded,15,31,0,1,1,0
ac_code_qa_8k-00128,recorded,16,33,0,1,1,0
ac_code_qa_8k-00128,recorded,17,35,0,1,1,0
ac_code_qa_8k-00128,recorded,18,37,0,1,1,0
ac_code_qa_8k-00128,recorded,19,39,0,1,1,0
ac_code_qa_8k-00128,recorded,20,41,0,2,2,0
ac_code_qa_8k-00128,recorded,21,43,1,2,1,0
ac_code_qa_8k-00128,recorded,22,45,1,2,1,0
ac_code_qa_8k-00128,recorded,23,47,1,2,1,0
ac_code_qa_8k-00128,recorded,24,49,1,2,1,0
ac_code_qa_8k-00128,recorded,25,51,1,2,1,0
ac_code_qa_8k-00128,recorded,26,53,1,2,1,0
ac_code_qa_8k-00128,recorded,27,55,1,2,1,0
ac_code_qa_8k-00128,recorded,28,57,1,2,1,0
ac_code_qa_8k-00128,recorded,29,59,1,2,1,0
ac_code_qa_8k-00128,recorded,30,61,1,2,1,0
ac_code_qa_8k-00128,recorded,31,63,1,2,1,0
ac_code_qa_8k-00128,recorded,32,65,1,2,1,0
ac_code_qa_8k-00128,recorded,33,67,1,2,1,0
ac_code_qa_8k-00128,recorded,34,69,1,2,1,0
ac_code_qa_8k-00128,recorded,35,71,1,2,1,0
ac_code_qa_8k-00128,recorded,36,73,1,2,1,0
ac_code_qa_8k-00128,recorded,37,75,1,2,1,0
ac_code_qa_8k-00128,recorded,38,77,1,2,1,0
ac_code_qa_8k-00128,recorded,39,79,1,2,1,0
ac_code_qa_8k-00128,recorded,40,81,1,2,1,0
ac_code_qa_8k-00128,recorded,41,83,1,3,2,0
ac_code_qa_8k-00128,recorded,42,85,2,3,1,0
ac_code_qa_8k-00128,recorded,43,87,2,3,1,0
ac_code_qa_8k-00128,recorded,44,89,2,3,1,0
ac_code_qa_8k-00128,recorded,45,91,2,3,1,0
ac_code_qa_8k-00128,recorded,46,93,2,3,1,0
ac_code_qa_8k-00128,recorded,47,95,2,3,1,0
ac_code_qa_8k-00128,recorded,48,97,2,3,1,0
ac_code_qa_8k-00128,recorded,49,99,2,3,1,0
ac_code_qa_8k-00128,recorded,50,101,2,3,1,0
ac_code_qa_8k-00128,recorded,51,103,2,3,1,0
ac_code_qa_8k-00128,recorded,52,105,2,3,1,0
ac_code_qa_8k-00128,recorded,53,107,2,3,1,0
ac_code_qa_8k-00128,recorded,54,109,2,3,1,0
ac_code_qa_8k-00128,recorded,55,111,2,3,1,0
ac_code_qa_8k-00128,recorded,56,113,2,3,1,0
ac_code_qa_8k-00128,recorded,57,115,2,3,1,0
ac_code_qa_8k-00128,recorded,58,117,2,3,1,0
ac_code_qa_8k-00128,recorded,59,119,2,3,1,0
ac_code_qa_8k-00128,recorded,60,121,2,3,1,0
ac_code_qa_8k-00128,recorded,61,123,2,4,2,0
ac_code_qa_8k-00128,recorded,62,125,3,4,1,0
ac_code_qa_8k-00128,recorded,63,127,3,4,1,0
ac_code_qa_8k-00128,recorded,64,129,3,4,1,0
ac_code_qa_8k-00128,recorded,65,131,3,4,1,0
ac_code_qa_8k-00128,recorded,66,133,3,4,1,0
ac_code_qa_8k-00128,recorded,67,135,3,4,1,0
ac_code_qa_8k-00128,recorded,68,137,3,4,1,0
ac_code_qa_8k-00128,recorded,69,139,3,4,1,0
ac_code_qa_8k-00128,recorded,70,141,3,4,1,0
ac_code_qa_8k-00128,recorded,71,143,3,4,1,0
ac_code_qa_8k-00128,recorded,72,145,3,4,1,0
ac_code_qa_8k-00128,recorded,73,147,3,4,1,0
ac_code_qa_8k-00128,recorded,74,149,3,4,1,0
ac_code_qa_8k-00128,recorded,75,151,3,4,1,0
ac_code_qa_8k-00128,recorded,76,153,3,4,1,0
ac_code_qa_8k-00128,recorded,77,155,3,4,1,0
ac_code_qa_8k-00128,recorded,78,157,3,4,1,0
ac_code_qa_8k-00128,recorded,79,159,3,4,1,0
ac_code_qa_8k-00128,recorded,80,161,3,4,1,0
ac_code_qa_8k-00128,recorded,81,163,3,5,2,0
ac_code_qa_8k-00128,recorded,82,165,4,5,1,0
ac_code_qa_8k-00128,recorded,83,167,4,5,1,0
ac_code_qa_8k-00128,recorded,84,169,4,5,1,0
ac_code_qa_8k-00128,recorded,85,171,4,5,1,0
ac_code_qa_8k-00128,recorded,86,173,4,5,1,0
ac_code_qa_8k-00128,recorded,87,175,4,5,1,0
ac_code_qa_8k-00128,recorded,88,177,4,5,1,0
ac_code_qa_8k-00128,recorded,89,179,4,5,1,0
ac_code_qa_8k-00128,recorded,90,181,4,5,1,0
ac_code_qa_8k-00128,recorded,91,183,4,5,1,0
ac_code_qa_8k-00128,recorded,92,185,4,5,1,0
ac_code_qa_8k-00128,recorded,93,187,4,5,1,0
ac_code_qa_8k-00128,recorded,94,189,4,5,1,0
ac_code_qa_8k-00128,recorded,95,191,4,5,1,0
ac_code_qa_8k-00128,recorded,96,193,4,5,1,0
ac_code_qa_8k-00128,recorded,97,195,4,5,1,0
ac_code_qa_8k-00128,recorded,98,197,4,5,1,0
ac_code_qa_8k-00128,recorded,99,199,4,5,1,0
ac_code_qa_8k-00128,recorded,100,201,4,5,1,0
ac_code_qa_8k-00128,recorded,101,203,4,6,2,0
ac_code_qa_8k-00128,recorded,102,205,5,6,1,0
ac_code_qa_8k-00128,recorded,103,207,5,6,1,0
ac_code_qa_8k-00128,recorded,104,209,5,6,1,0
ac_office_work_8k-00059,recorded,0,1,0,1,1,0
ac_office_work_8k-00059,recorded,1,3,0,1,1,0
ac_office_work_8k-00059,recorded,2,5,0,1,1,0
ac_office_work_8k-00059,recorded,3,7,0,1,1,0
ac_office_work_8k-00059,recorded,4,9,0,1,1,0
ac_office_work_8k-00059,recorded,5,11,0,1,1,0
ac_office_work_8k-00059,recorded,6,13,0,1,1,0
ac_office_work_8k-00059,recorded,7,15,0,1,1,0
ac_office_work_8k-00059,recorded,8,17,0,1,1,0
ac_office_work_8k-00059,recorded,9,19,0,1,1,0
ac_office_work_8k-00059,recorded,10,21,0,1,1,0
ac_office_work_8k-00059,recorded,11,23,0,1,1,0
ac_office_work_8k-00059,recorded,12,25,0,1,1,0
ac_office_work_8k-00059,recorded,13,27,0,1,1,0
ac_office_work_8k-00059,recorded,14,29,0,1,1,0
ac_office_work_8k-00059,recorded,15,31,0,1,1,0
ac_office_work_8k-00059,recorded,16,33,0,1,1,0
ac_office_work_8k-00059,recorded,17,35,0,1,1,0
ac_office_work_8k-00059,recorded,18,37,0,1,1,0
ac_office_work_8k-00059,recorded,19,39,0,1,1,0
ac_office_work_8k-00059,recorded,20,41,0,2,2,0
ac_office_work_8k-00059,recorded,21,43,1,2,1,0
ac_office_work_8k-00059,recorded,22,45,1,2,1,0
ac_office_work_8k-00059,recorded,23,47,1,2,1,0
ac_office_work_8k-00059,recorded,24,49,1,2,1,0
ac_office_work_8k-00059,recorded,25,51,1,2,1,0
ac_office_work_8k-00059,recorded,26,53,1,2,1,0
ac_office_work_8k-00059,recorded,27,55,1,2,1,0
ac_office_work_8k-00059,recorded,28,57,1,2,1,0
ac_office_work_8k-00059,recorded,29,59,1,2,1,0
ac_office_work_8k-00059,recorded,30,61,1,2,1,0
ac_office_work_8k-00059,recorded,31,63,1,2,1,0
ac_office_work_8k-00059,recorded,32,65,1,2,1,0
ac_office_work_8k-00059,recorded,33,67,1,2,1,0
ac_office_work_8k-00059,recorded,34,69,1,2,1,0
ac_office_work_8k-00059,recorded,35,71,1,2,1,0
ac_office_work_8k-00059,recorded,36,73,1,2,1,0
ac_office_work_8k-00059,recorded,37,75,1,2,1,0
ac_office_work_8k-00059,recorded,38,77,1,2,1,0
ac_office_work_8k-00059,recorded,39,79,1,2,1,0
ac_office_work_8k-00059,recorded,40,81,1,2,1,0
ac_office_work_8k-00059,recorded,41,83,1,3,2,0
ac_office_work_8k-00059,recorded,42,85,2,3,1,0
ac_office_work_8k-00059,recorded,43,87,2,3,1,0
ac_office_work_8k-00059,recorded,44,89,2,3,1,0
ac_office_work_8k-00059,recorded,45,91,2,3,1,0
ac_office_work_8k-00059,recorded,46,93,2,3,1,0
ac_office_work_8k-00059,recorded,47,95,2,3,1,0
ac_office_work_8k-00059,recorded,48,97,2,3,1,0
ac_office_work_8k-00059,recorded,49,99,2,3,1,0
ac_office_work_8k-00059,recorded,50,101,2,3,1,0
ac_office_work_8k-00059,recorded,51,103,2,3,1,0
ac_office_work_8k-00059,recorded,52,105,2,3,1,0
ac_office_work_8k-00059,recorded,53,107,2,3,1,0
ac_office_work_8k-00059,recorded,54,109,2,3,1,0
ac_office_work_8k-00059,recorded,55,111,2,3,1,0
ac_office_work_8k-00059,recorded,56,113,2,3,1,0
ac_office_work_8k-00059,recorded,57,115,2,3,1,0
ac_office_work_8k-00059,recorded,58,117,2,3,1,0
ac_office_work_8k-00059,recorded,59,119,2,3,1,0
ac_office_work_8k-00059,recorded,60,121,2,3,1,0
ac_office_work_8k-00059,recorded,61,123,2,4,2,0
ac_office_work_8k-00059,recorded,62,125,3,4,1,0
ac_office_work_8k-00059,recorded,63,127,3,4,1,0
ac_office_work_8k-00059,recorded,64,129,3,4,1,0
ac_office_work_8k-00059,recorded,65,131,3,4,1,0
ac_office_work_8k-00059,recorded,66,133,3,4,1,0
