task_id,msg_index,role,n_msg_tokens,attn_total,attn_per_token
0c699abf-bc77-454a-8197-d56a2294098a,0,user,25,173.262054,6.930482
0c699abf-bc77-454a-8197-d56a2294098a,1,assistant,86,1.705660,0.019833
0c699abf-bc77-454a-8197-d56a2294098a,2,tool,45,0.371775,0.008262
0c699abf-bc77-454a-8197-d56a2294098a,3,assistant,110,1.522881,0.013844
0c699abf-bc77-454a-8197-d56a2294098a,4,tool,86,0.199720,0.002322
0c699abf-bc77-454a-8197-d56a2294098a,5,assistant,261,4.044794,0.015497
0c699abf-bc77-454a-8197-d56a2294098a,6,tool,662,2.719522,0.004108
0c699abf-bc77-454a-8197-d56a2294098a,7,assistant,98,2.479974,0.025306
0c699abf-bc77-454a-8197-d56a2294098a,8,tool,2331,3.145543,0.001349
0c699abf-bc77-454a-8197-d56a2294098a,9,assistant,77,2.213428,0.028746
0c699abf-bc77-454a-8197-d56a2294098a,10,tool,370,2.468049,0.006670
0c699abf-bc77-454a-8197-d56a2294098a,11,assistant,363,61.869194,0.170439
67584368-7a5c-4d7a-b682-40ee44ff8c61,0,user,62,194.020981,3.129371
67584368-7a5c-4d7a-b682-40ee44ff8c61,1,assistant,319,9.191732,0.028814
67584368-7a5c-4d7a-b682-40ee44ff8c61,2,tool,134,3.131259,0.023368
67584368-7a5c-4d7a-b682-40ee44ff8c61,3,assistant,366,49.666866,0.135702
71beb770-2c25-4376-b4db-0d2eaa7c2234,10,tool,3663,175.992493,0.048046
71beb770-2c25-4376-b4db-0d2eaa7c2234,11,assistant,2481,80.014778,0.032251
8ffd06f9-f10f-4aeb-8ef2-57f8bb8f0f8e,9,assistant,5365,206.239716,0.038442
8ffd06f9-f10f-4aeb-8ef2-57f8bb8f0f8e,10,tool,47,0.646849,0.013763
8ffd06f9-f10f-4aeb-8ef2-57f8bb8f0f8e,11,assistant,732,49.077316,0.067046
59ddeaf9-0bcd-47b5-8847-f411db09f692,10,tool,4066,177.443726,0.043641
59ddeaf9-0bcd-47b5-8847-f411db09f692,11,assistant,2078,78.527725,0.037790
41364111-63cd-4e4f-a068-9616907802c5,12,tool,207,174.027725,0.840714
41364111-63cd-4e4f-a068-9616907802c5,13,assistant,158,0.944287,0.005976
41364111-63cd-4e4f-a068-9616907802c5,14,tool,379,0.498514,0.001315
41364111-63cd-4e4f-a068-9616907802c5,15,assistant,651,3.531572,0.005425
41364111-63cd-4e4f-a068-9616907802c5,16,tool,246,0.225703,0.000917
41364111-63cd-4e4f-a068-9616907802c5,17,assistant,142,0.423718,0.002984
41364111-63cd-4e4f-a068-9616907802c5,18,tool,63,0.131292,0.002084
41364111-63cd-4e4f-a068-9616907802c5,19,assistant,222,0.325737,0.001467
41364111-63cd-4e4f-a068-9616907802c5,20,tool,246,0.121700,0.000495
41364111-63cd-4e4f-a068-9616907802c5,21,assistant,245,0.904052,0.003690
41364111-63cd-4e4f-a068-9616907802c5,22,tool,76,0.246134,0.003239
41364111-63cd-4e4f-a068-9616907802c5,23,assistant,120,0.710554,0.005921
41364111-63cd-4e4f-a068-9616907802c5,24,tool,76,0.102225,0.001345
41364111-63cd-4e4f-a068-9616907802c5,25,assistant,101,0.708898,0.007019
41364111-63cd-4e4f-a068-9616907802c5,26,tool,76,0.098761,0.001299
41364111-63cd-4e4f-a068-9616907802c5,27,assistant,2585,19.072233,0.007378
41364111-63cd-4e4f-a068-9616907802c5,28,tool,89,1.214566,0.013647
41364111-63cd-4e4f-a068-9616907802c5,29,assistant,462,52.695290,0.114059
637d6462-65e6-42a3-954d-3f5129f2a3b6,12,tool,631,184.818146,0.292897
637d6462-65e6-42a3-954d-3f5129f2a3b6,13,assistant,82,0.348460,0.004250
637d6462-65e6-42a3-954d-3f5129f2a3b6,14,tool,3196,4.179924,0.001308
637d6462-65e6-42a3-954d-3f5129f2a3b6,15,assistant,248,1.964956,0.007923
637d6462-65e6-42a3-954d-3f5129f2a3b6,16,tool,48,0.223235,0.004651
637d6462-65e6-42a3-954d-3f5129f2a3b6,17,assistant,214,3.423465,0.015997
637d6462-65e6-42a3-954d-3f5129f2a3b6,18,tool,65,0.286965,0.004415
637d6462-65e6-42a3-954d-3f5129f2a3b6,19,assistant,73,1.235392,0.016923
637d6462-65e6-42a3-954d-3f5129f2a3b6,20,tool,65,0.193449,0.002976
637d6462-65e6-42a3-954d-3f5129f2a3b6,21,assistant,83,0.994502,0.011982
637d6462-65e6-42a3-954d-3f5129f2a3b6,22,tool,131,0.610125,0.004657
637d6462-65e6-42a3-954d-3f5129f2a3b6,23,assistant,76,0.750672,0.009877
637d6462-65e6-42a3-954d-3f5129f2a3b6,24,tool,185,0.704369,0.003807
637d6462-65e6-42a3-954d-3f5129f2a3b6,25,assistant,89,1.878909,0.021111
637d6462-65e6-42a3-954d-3f5129f2a3b6,26,tool,446,4.540401,0.010180
637d6462-65e6-42a3-954d-3f5129f2a3b6,27,assistant,43,1.731453,0.040266
637d6462-65e6-42a3-954d-3f5129f2a3b6,28,tool,76,1.105673,0.014548
637d6462-65e6-42a3-954d-3f5129f2a3b6,29,assistant,393,46.995319,0.119581
aaf09a9a-950d-4bf0-a21a-d7d10047d51c,14,tool,1691,180.059525,0.106481
aaf09a9a-950d-4bf0-a21a-d7d10047d51c,15,assistant,79,0.976019,0.012355
aaf09a9a-950d-4bf0-a21a-d7d10047d51c,16,tool,61,0.168381,0.002760
aaf09a9a-950d-4bf0-a21a-d7d10047d51c,17,assistant,54,0.361086,0.006687
aaf09a9a-950d-4bf0-a21a-d7d10047d51c,18,tool,60,0.057249,0.000954
aaf09a9a-950d-4bf0-a21a-d7d10047d51c,19,assistant,55,0.230290,0.004187
aaf09a9a-950d-4bf0-a21a-d7d10047d51c,20,tool,52,0.179878,0.003459
aaf09a9a-950d-4bf0-a21a-d7d10047d51c,21,assistant,68,0.227361,0.003344
aaf09a9a-950d-4bf0-a21a-d7d10047d51c,22,tool,91,0.207379,0.002279
aaf09a9a-950d-4bf0-a21a-d7d10047d51c,23,assistant,90,0.458274,0.005092
aaf09a9a-950d-4bf0-a21a-d7d10047d51c,24,tool,1703,1.363174,0.000800
aaf09a9a-950d-4bf0-a21a-d7d10047d51c,25,assistant,43,0.616331,0.014333
aaf09a9a-950d-4bf0-a21a-d7d10047d51c,26,tool,90,0.230267,0.002559
aaf09a9a-950d-4bf0-a21a-d7d10047d51c,27,assistant,228,2.006196,0.008799
aaf09a9a-950d-4bf0-a21a-d7d10047d51c,28,tool,298,1.979172,0.006642
aaf09a9a-950d-4bf0-a21a-d7d10047d51c,29,assistant,76,1.409628,0.018548
aaf09a9a-950d-4bf0-a21a-d7d10047d51c,30,tool,393,2.538118,0.006458
aaf09a9a-950d-4bf0-a21a-d7d10047d51c,31,user,40,0.782481,0.019562
aaf09a9a-950d-4bf0-a21a-d7d10047d51c,32,assistant,972,62.142105,0.063932
7c1d3f5a-dd10-4e3c-a0f1-a94bc2a010bd,15,assistant,1917,180.105499,0.093952
7c1d3f5a-dd10-4e3c-a0f1-a94bc2a010bd,16,tool,48,0.317026,0.006605
7c1d3f5a-dd10-4e3c-a0f1-a94bc2a010bd,17,assistant,104,1.031005,0.009914
7c1d3f5a-dd10-4e3c-a0f1-a94bc2a010bd,18,tool,130,0.231916,0.001784
7c1d3f5a-dd10-4e3c-a0f1-a94bc2a010bd,19,assistant,3231,14.865323,0.004601
7c1d3f5a-dd10-4e3c-a0f1-a94bc2a010bd,20,tool,48,0.539861,0.011247
7c1d3f5a-dd10-4e3c-a0f1-a94bc2a010bd,21,assistant,134,3.644377,0.027197
7c1d3f5a-dd10-4e3c-a0f1-a94bc2a010bd,22,tool,158,1.457268,0.009223
7c1d3f5a-dd10-4e3c-a0f1-a94bc2a010bd,23,assistant,374,53.815941,0.143893
835d7635-aea6-48b4-96c4-206c5e95f083,29,assistant,5312,189.391953,0.035654
835d7635-aea6-48b4-96c4-206c5e95f083,30,tool,133,1.620455,0.012184
835d7635-aea6-48b4-96c4-206c5e95f083,31,user,40,0.975405,0.024385
835d7635-aea6-48b4-96c4-206c5e95f083,32,assistant,659,64.025650,0.097156
3f4b79bf-7f27-48e9-b619-85f858dd59e2,25,assistant,1882,184.385651,0.097973
3f4b79bf-7f27-48e9-b619-85f858dd59e2,26,tool,163,2.127084,0.013050
3f4b79bf-7f27-48e9-b619-85f858dd59e2,27,assistant,1069,3.188293,0.002983
3f4b79bf-7f27-48e9-b619-85f858dd59e2,28,tool,122,0.888730,0.007285
3f4b79bf-7f27-48e9-b619-85f858dd59e2,29,assistant,2105,5.900829,0.002803
3f4b79bf-7f27-48e9-b619-85f858dd59e2,30,tool,92,0.880065,0.009566
3f4b79bf-7f27-48e9-b619-85f858dd59e2,31,user,40,1.087932,0.027198
3f4b79bf-7f27-48e9-b619-85f858dd59e2,32,assistant,671,57.510620,0.085709
b92eecfe-0cff-4746-ae98-986f2512c084,27,assistant,2969,180.109665,0.060663
b92eecfe-0cff-4746-ae98-986f2512c084,28,tool,763,2.696237,0.003534
b92eecfe-0cff-4746-ae98-986f2512c084,29,assistant,613,4.252974,0.006938
b92eecfe-0cff-4746-ae98-986f2512c084,30,tool,677,1.801673,0.002661
b92eecfe-0cff-4746-ae98-986f2512c084,31,user,40,0.594804,0.014870
b92eecfe-0cff-4746-ae98-986f2512c084,32,assistant,1082,66.505493,0.061465
930977e3-cb4e-4bcd-8218-c717389c4c14,14,tool,879,176.709396,0.201035
930977e3-cb4e-4bcd-8218-c717389c4c14,15,assistant,492,2.154475,0.004379
930977e3-cb4e-4bcd-8218-c717389c4c14,16,tool,219,0.220022,0.001005
930977e3-cb4e-4bcd-8218-c717389c4c14,17,assistant,3461,17.909245,0.005175
930977e3-cb4e-4bcd-8218-c717389c4c14,18,tool,701,3.518842,0.005020
930977e3-cb4e-4bcd-8218-c717389c4c14,19,assistant,392,55.495537,0.141570
e0faf24b-e135-412f-b89d-c90b263e677b,6,tool,2923,178.417084,0.061039
e0faf24b-e135-412f-b89d-c90b263e677b,7,assistant,201,5.136288,0.025554
e0faf24b-e135-412f-b89d-c90b263e677b,8,tool,3020,72.446991,0.023989
66890ddc-faa5-4ca2-9f80-f751e2f8eed3,0,user,25,174.923187,6.996927
66890ddc-faa5-4ca2-9f80-f751e2f8eed3,1,assistant,210,1.063608,0.005065
66890ddc-faa5-4ca2-9f80-f751e2f8eed3,2,tool,51,0.107487,0.002108
66890ddc-faa5-4ca2-9f80-f751e2f8eed3,3,assistant,77,0.297320,0.003861
66890ddc-faa5-4ca2-9f80-f751e2f8eed3,4,tool,45,0.031667,0.000704
66890ddc-faa5-4ca2-9f80-f751e2f8eed3,5,assistant,32,0.103082,0.003221
66890ddc-faa5-4ca2-9f80-f751e2f8eed3,6,tool,49,0.020927,0.000427
66890ddc-faa5-4ca2-9f80-f751e2f8eed3,7,assistant,75,0.162714,0.002170
66890ddc-faa5-4ca2-9f80-f751e2f8eed3,8,tool,48,0.023955,0.000499
66890ddc-faa5-4ca2-9f80-f751e2f8eed3,9,assistant,68,0.115667,0.001701
66890ddc-faa5-4ca2-9f80-f751e2f8eed3,10,tool,51,0.026484,0.000519
66890ddc-faa5-4ca2-9f80-f751e2f8eed3,11,assistant,2640,14.063908,0.005327
66890ddc-faa5-4ca2-9f80-f751e2f8eed3,12,tool,821,6.759975,0.008234
66890ddc-faa5-4ca2-9f80-f751e2f8eed3,13,assistant,94,1.778518,0.018920
66890ddc-faa5-4ca2-9f80-f751e2f8eed3,14,tool,141,0.718207,0.005094
66890ddc-faa5-4ca2-9f80-f751e2f8eed3,15,assistant,396,2.937551,0.007418
66890ddc-faa5-4ca2-9f80-f751e2f8eed3,16,tool,363,3.153934,0.008689
66890ddc-faa5-4ca2-9f80-f751e2f8eed3,17,assistant,408,49.737480,0.121906
4d2329c7-4e2a-4067-b4ee-451967d130e7,10,tool,1050,171.770660,0.163591
4d2329c7-4e2a-4067-b4ee-451967d130e7,11,assistant,325,2.373923,0.007304
4d2329c7-4e2a-4067-b4ee-451967d130e7,12,tool,79,0.229302,0.002903
4d2329c7-4e2a-4067-b4ee-451967d130e7,13,assistant,107,0.745865,0.006971
4d2329c7-4e2a-4067-b4ee-451967d130e7,14,tool,81,0.138487,0.001710
4d2329c7-4e2a-4067-b4ee-451967d130e7,15,assistant,106,0.359411,0.003391
4d2329c7-4e2a-4067-b4ee-451967d130e7,16,tool,313,0.766124,0.002448
4d2329c7-4e2a-4067-b4ee-451967d130e7,17,assistant,77,0.889082,0.011547
4d2329c7-4e2a-4067-b4ee-451967d130e7,18,tool,52,0.051526,0.000991
4d2329c7-4e2a-4067-b4ee-451967d130e7,19,assistant,116,0.618648,0.005333
4d2329c7-4e2a-4067-b4ee-451967d130e7,20,tool,155,0.231382,0.001493
4d2329c7-4e2a-4067-b4ee-451967d130e7,21,assistant,63,0.436527,0.006929
4d2329c7-4e2a-4067-b4ee-451967d130e7,22,tool,84,0.198025,0.002357
4d2329c7-4e2a-4067-b4ee-451967d130e7,23,assistant,93,0.286078,0.003076
4d2329c7-4e2a-4067-b4ee-451967d130e7,24,tool,508,1.608141,0.003166
4d2329c7-4e2a-4067-b4ee-451967d130e7,25,assistant,118,1.761706,0.014930
4d2329c7-4e2a-4067-b4ee-451967d130e7,26,tool,102,0.159558,0.001564
4d2329c7-4e2a-4067-b4ee-451967d130e7,27,assistant,86,0.954872,0.011103
4d2329c7-4e2a-4067-b4ee-451967d130e7,28,tool,1675,3.968107,0.002369
4d2329c7-4e2a-4067-b4ee-451967d130e7,29,assistant,358,10.522857,0.029393
4d2329c7-4e2a-4067-b4ee-451967d130e7,30,tool,154,1.579805,0.010258
4d2329c7-4e2a-4067-b4ee-451967d130e7,31,user,40,1.128988,0.028225
4d2329c7-4e2a-4067-b4ee-451967d130e7,32,assistant,402,55.228241,0.137384
1a2a12a6-0353-4326-9590-d8a5b5e56de5,13,assistant,839,182.065384,0.217003
1a2a12a6-0353-4326-9590-d8a5b5e56de5,14,tool,88,0.227406,0.002584
1a2a12a6-0353-4326-9590-d8a5b5e56de5,15,assistant,1906,5.957876,0.003126
1a2a12a6-0353-4326-9590-d8a5b5e56de5,16,tool,216,0.222547,0.001030
1a2a12a6-0353-4326-9590-d8a5b5e56de5,17,assistant,193,1.463475,0.007583
1a2a12a6-0353-4326-9590-d8a5b5e56de5,18,tool,233,0.441499,0.001895
1a2a12a6-0353-4326-9590-d8a5b5e56de5,19,assistant,65,0.753221,0.011588
1a2a12a6-0353-4326-9590-d8a5b5e56de5,20,tool,742,1.870860,0.002521
1a2a12a6-0353-4326-9590-d8a5b5e56de5,21,assistant,160,1.322711,0.008267
1a2a12a6-0353-4326-9590-d8a5b5e56de5,22,tool,219,0.534580,0.002441
1a2a12a6-0353-4326-9590-d8a5b5e56de5,23,assistant,107,0.965463,0.009023
1a2a12a6-0353-4326-9590-d8a5b5e56de5,24,tool,76,0.187859,0.002472
1a2a12a6-0353-4326-9590-d8a5b5e56de5,25,assistant,49,0.588387,0.012008
1a2a12a6-0353-4326-9590-d8a5b5e56de5,26,tool,249,1.812617,0.007280
1a2a12a6-0353-4326-9590-d8a5b5e56de5,27,assistant,67,0.986493,0.014724
1a2a12a6-0353-4326-9590-d8a5b5e56de5,28,tool,96,0.647950,0.006749
1a2a12a6-0353-4326-9590-d8a5b5e56de5,29,assistant,107,2.116503,0.019780
1a2a12a6-0353-4326-9590-d8a5b5e56de5,30,tool,184,1.590442,0.008644
1a2a12a6-0353-4326-9590-d8a5b5e56de5,31,user,40,0.783408,0.019585
1a2a12a6-0353-4326-9590-d8a5b5e56de5,32,assistant,508,51.452717,0.101285
4143608f-6ca7-4f3b-af9c-63e2389306ae,0,user,43,188.459167,4.382771
4143608f-6ca7-4f3b-af9c-63e2389306ae,1,assistant,499,7.655884,0.015342
4143608f-6ca7-4f3b-af9c-63e2389306ae,2,tool,483,3.372228,0.006982
4143608f-6ca7-4f3b-af9c-63e2389306ae,3,assistant,209,4.807138,0.023001
4143608f-6ca7-4f3b-af9c-63e2389306ae,4,tool,484,3.239885,0.006694
4143608f-6ca7-4f3b-af9c-63e2389306ae,5,assistant,277,48.451519,0.174915
19be0b4f-b8d3-48f9-af88-6d22eda39812,4,tool,1,164.687500,164.687500
19be0b4f-b8d3-48f9-af88-6d22eda39812,5,assistant,237,4.345073,0.018334
19be0b4f-b8d3-48f9-af88-6d22eda39812,6,tool,2171,4.705272,0.002167
19be0b4f-b8d3-48f9-af88-6d22eda39812,7,assistant,65,1.970656,0.030318
19be0b4f-b8d3-48f9-af88-6d22eda39812,8,tool,45,0.224538,0.004990
19be0b4f-b8d3-48f9-af88-6d22eda39812,9,assistant,89,1.726947,0.019404
19be0b4f-b8d3-48f9-af88-6d22eda39812,10,tool,70,0.407583,0.005823
19be0b4f-b8d3-48f9-af88-6d22eda39812,11,assistant,51,0.777242,0.015240
19be0b4f-b8d3-48f9-af88-6d22eda39812,12,tool,180,0.345477,0.001919
19be0b4f-b8d3-48f9-af88-6d22eda39812,13,assistant,2798,21.930801,0.007838
19be0b4f-b8d3-48f9-af88-6d22eda39812,14,tool,123,2.950446,0.023987
