task_id,msg_index,role,n_msg_tokens,attn_total,attn_per_token
0c699abf-bc77-454a-8197-d56a2294098a,0,user,25,148.363831,5.934553
0c699abf-bc77-454a-8197-d56a2294098a,1,assistant,86,2.127827,0.024742
0c699abf-bc77-454a-8197-d56a2294098a,2,tool,45,0.526097,0.011691
0c699abf-bc77-454a-8197-d56a2294098a,3,assistant,110,2.346223,0.021329
0c699abf-bc77-454a-8197-d56a2294098a,4,tool,86,0.355191,0.004130
0c699abf-bc77-454a-8197-d56a2294098a,5,assistant,261,19.550968,0.074908
0c699abf-bc77-454a-8197-d56a2294098a,6,tool,662,2.919616,0.004410
0c699abf-bc77-454a-8197-d56a2294098a,7,assistant,98,2.423257,0.024727
0c699abf-bc77-454a-8197-d56a2294098a,8,tool,2331,5.134390,0.002203
0c699abf-bc77-454a-8197-d56a2294098a,9,assistant,77,2.400369,0.031174
0c699abf-bc77-454a-8197-d56a2294098a,10,tool,370,3.320763,0.008975
0c699abf-bc77-454a-8197-d56a2294098a,11,assistant,363,66.516273,0.183240
67584368-7a5c-4d7a-b682-40ee44ff8c61,0,user,62,175.786667,2.835269
67584368-7a5c-4d7a-b682-40ee44ff8c61,1,assistant,319,11.803219,0.037001
67584368-7a5c-4d7a-b682-40ee44ff8c61,2,tool,134,4.488390,0.033495
67584368-7a5c-4d7a-b682-40ee44ff8c61,3,assistant,366,63.904236,0.174602
71beb770-2c25-4376-b4db-0d2eaa7c2234,10,tool,3663,165.934891,0.045300
71beb770-2c25-4376-b4db-0d2eaa7c2234,11,assistant,2481,90.041451,0.036292
8ffd06f9-f10f-4aeb-8ef2-57f8bb8f0f8e,9,assistant,5365,192.244263,0.035833
8ffd06f9-f10f-4aeb-8ef2-57f8bb8f0f8e,10,tool,47,1.266775,0.026953
8ffd06f9-f10f-4aeb-8ef2-57f8bb8f0f8e,11,assistant,732,62.504318,0.085388
59ddeaf9-0bcd-47b5-8847-f411db09f692,10,tool,4066,161.376587,0.039689
59ddeaf9-0bcd-47b5-8847-f411db09f692,11,assistant,2078,94.618736,0.045534
41364111-63cd-4e4f-a068-9616907802c5,12,tool,207,131.016800,0.632931
41364111-63cd-4e4f-a068-9616907802c5,13,assistant,158,1.674790,0.010600
41364111-63cd-4e4f-a068-9616907802c5,14,tool,379,1.033451,0.002727
41364111-63cd-4e4f-a068-9616907802c5,15,assistant,651,4.063802,0.006242
41364111-63cd-4e4f-a068-9616907802c5,16,tool,246,22.176579,0.090149
41364111-63cd-4e4f-a068-9616907802c5,17,assistant,142,0.630634,0.004441
41364111-63cd-4e4f-a068-9616907802c5,18,tool,63,0.137463,0.002182
41364111-63cd-4e4f-a068-9616907802c5,19,assistant,222,0.425251,0.001916
41364111-63cd-4e4f-a068-9616907802c5,20,tool,246,0.245176,0.000997
41364111-63cd-4e4f-a068-9616907802c5,21,assistant,245,0.949160,0.003874
41364111-63cd-4e4f-a068-9616907802c5,22,tool,76,0.245611,0.003232
41364111-63cd-4e4f-a068-9616907802c5,23,assistant,120,0.518894,0.004324
41364111-63cd-4e4f-a068-9616907802c5,24,tool,76,0.267137,0.003515
41364111-63cd-4e4f-a068-9616907802c5,25,assistant,101,0.537512,0.005322
41364111-63cd-4e4f-a068-9616907802c5,26,tool,76,0.109118,0.001436
41364111-63cd-4e4f-a068-9616907802c5,27,assistant,2585,26.464012,0.010238
41364111-63cd-4e4f-a068-9616907802c5,28,tool,89,1.431767,0.016087
41364111-63cd-4e4f-a068-9616907802c5,29,assistant,462,64.087181,0.138717
637d6462-65e6-42a3-954d-3f5129f2a3b6,12,tool,631,155.897034,0.247063
637d6462-65e6-42a3-954d-3f5129f2a3b6,13,assistant,82,0.635002,0.007744
637d6462-65e6-42a3-954d-3f5129f2a3b6,14,tool,3196,12.461543,0.003899
637d6462-65e6-42a3-954d-3f5129f2a3b6,15,assistant,248,2.591951,0.010451
637d6462-65e6-42a3-954d-3f5129f2a3b6,16,tool,48,0.338028,0.007042
637d6462-65e6-42a3-954d-3f5129f2a3b6,17,assistant,214,3.428171,0.016019
637d6462-65e6-42a3-954d-3f5129f2a3b6,18,tool,65,0.491392,0.007560
637d6462-65e6-42a3-954d-3f5129f2a3b6,19,assistant,73,1.411116,0.019330
637d6462-65e6-42a3-954d-3f5129f2a3b6,20,tool,65,0.365100,0.005617
637d6462-65e6-42a3-954d-3f5129f2a3b6,21,assistant,83,1.240817,0.014950
637d6462-65e6-42a3-954d-3f5129f2a3b6,22,tool,131,0.989913,0.007557
637d6462-65e6-42a3-954d-3f5129f2a3b6,23,assistant,76,0.960550,0.012639
637d6462-65e6-42a3-954d-3f5129f2a3b6,24,tool,185,1.006402,0.005440
637d6462-65e6-42a3-954d-3f5129f2a3b6,25,assistant,89,2.702404,0.030364
637d6462-65e6-42a3-954d-3f5129f2a3b6,26,tool,446,5.407626,0.012125
637d6462-65e6-42a3-954d-3f5129f2a3b6,27,assistant,43,1.809380,0.042079
637d6462-65e6-42a3-954d-3f5129f2a3b6,28,tool,76,1.250416,0.016453
637d6462-65e6-42a3-954d-3f5129f2a3b6,29,assistant,393,63.031487,0.160385
aaf09a9a-950d-4bf0-a21a-d7d10047d51c,14,tool,1691,157.560730,0.093176
aaf09a9a-950d-4bf0-a21a-d7d10047d51c,15,assistant,79,1.354555,0.017146
aaf09a9a-950d-4bf0-a21a-d7d10047d51c,16,tool,61,0.232505,0.003812
aaf09a9a-950d-4bf0-a21a-d7d10047d51c,17,assistant,54,0.527740,0.009773
aaf09a9a-950d-4bf0-a21a-d7d10047d51c,18,tool,60,0.090958,0.001516
aaf09a9a-950d-4bf0-a21a-d7d10047d51c,19,assistant,55,0.230700,0.004195
aaf09a9a-950d-4bf0-a21a-d7d10047d51c,20,tool,52,0.143254,0.002755
aaf09a9a-950d-4bf0-a21a-d7d10047d51c,21,assistant,68,0.299168,0.004400
aaf09a9a-950d-4bf0-a21a-d7d10047d51c,22,tool,91,0.311715,0.003425
aaf09a9a-950d-4bf0-a21a-d7d10047d51c,23,assistant,90,0.500617,0.005562
aaf09a9a-950d-4bf0-a21a-d7d10047d51c,24,tool,1703,10.696619,0.006281
aaf09a9a-950d-4bf0-a21a-d7d10047d51c,25,assistant,43,0.552053,0.012838
aaf09a9a-950d-4bf0-a21a-d7d10047d51c,26,tool,90,0.321885,0.003577
aaf09a9a-950d-4bf0-a21a-d7d10047d51c,27,assistant,228,2.030933,0.008908
aaf09a9a-950d-4bf0-a21a-d7d10047d51c,28,tool,298,2.370803,0.007956
aaf09a9a-950d-4bf0-a21a-d7d10047d51c,29,assistant,76,1.337997,0.017605
aaf09a9a-950d-4bf0-a21a-d7d10047d51c,30,tool,393,2.777541,0.007068
aaf09a9a-950d-4bf0-a21a-d7d10047d51c,31,user,40,0.862847,0.021571
aaf09a9a-950d-4bf0-a21a-d7d10047d51c,32,assistant,972,73.764214,0.075889
7c1d3f5a-dd10-4e3c-a0f1-a94bc2a010bd,15,assistant,1917,165.748260,0.086462
7c1d3f5a-dd10-4e3c-a0f1-a94bc2a010bd,16,tool,48,0.485497,0.010115
7c1d3f5a-dd10-4e3c-a0f1-a94bc2a010bd,17,assistant,104,1.289591,0.012400
7c1d3f5a-dd10-4e3c-a0f1-a94bc2a010bd,18,tool,130,0.464475,0.003573
7c1d3f5a-dd10-4e3c-a0f1-a94bc2a010bd,19,assistant,3231,17.454355,0.005402
7c1d3f5a-dd10-4e3c-a0f1-a94bc2a010bd,20,tool,48,0.775271,0.016151
7c1d3f5a-dd10-4e3c-a0f1-a94bc2a010bd,21,assistant,134,4.229608,0.031564
7c1d3f5a-dd10-4e3c-a0f1-a94bc2a010bd,22,tool,158,2.449596,0.015504
7c1d3f5a-dd10-4e3c-a0f1-a94bc2a010bd,23,assistant,374,63.106319,0.168733
835d7635-aea6-48b4-96c4-206c5e95f083,29,assistant,5312,179.710205,0.033831
835d7635-aea6-48b4-96c4-206c5e95f083,30,tool,133,2.205479,0.016583
835d7635-aea6-48b4-96c4-206c5e95f083,31,user,40,1.326716,0.033168
835d7635-aea6-48b4-96c4-206c5e95f083,32,assistant,659,72.753654,0.110400
3f4b79bf-7f27-48e9-b619-85f858dd59e2,25,assistant,1882,160.939438,0.085515
3f4b79bf-7f27-48e9-b619-85f858dd59e2,26,tool,163,2.528953,0.015515
3f4b79bf-7f27-48e9-b619-85f858dd59e2,27,assistant,1069,12.489341,0.011683
