task_id,msg_index,role,tokens,cites,mean_cos_sim,attn_per_token,attn_total
0c699abf-bc77-454a-8197-d56a2294098a,0,user,25,5,,5.934553,148.363831
0c699abf-bc77-454a-8197-d56a2294098a,1,assistant,86,4,0.5730,0.024742,2.127827
0c699abf-bc77-454a-8197-d56a2294098a,2,tool,45,3,0.6724,0.011691,0.526097
0c699abf-bc77-454a-8197-d56a2294098a,3,assistant,110,0,0.4765,0.021329,2.346223
0c699abf-bc77-454a-8197-d56a2294098a,4,tool,86,2,0.6365,0.004130,0.355191
0c699abf-bc77-454a-8197-d56a2294098a,5,assistant,261,0,0.4014,0.074908,19.550968
0c699abf-bc77-454a-8197-d56a2294098a,6,tool,662,1,0.7035,0.004410,2.919616
0c699abf-bc77-454a-8197-d56a2294098a,7,assistant,98,0,0.2605,0.024727,2.423257
0c699abf-bc77-454a-8197-d56a2294098a,8,tool,2331,1,0.7085,0.002203,5.134390
0c699abf-bc77-454a-8197-d56a2294098a,9,assistant,77,1,0.2708,0.031174,2.400369
0c699abf-bc77-454a-8197-d56a2294098a,10,tool,370,0,0.5014,0.008975,3.320763
0c699abf-bc77-454a-8197-d56a2294098a,11,assistant,363,0,0.2619,0.183240,66.516273
67584368-7a5c-4d7a-b682-40ee44ff8c61,0,user,62,1,,2.835269,175.786667
67584368-7a5c-4d7a-b682-40ee44ff8c61,1,assistant,319,1,0.7869,0.037001,11.803219
67584368-7a5c-4d7a-b682-40ee44ff8c61,2,tool,134,0,0.7515,0.033495,4.488390
67584368-7a5c-4d7a-b682-40ee44ff8c61,3,assistant,366,0,0.4495,0.174602,63.904236
71beb770-2c25-4376-b4db-0d2eaa7c2234,10,tool,3663,0,0.3637,0.045300,165.934891
71beb770-2c25-4376-b4db-0d2eaa7c2234,11,assistant,2481,0,0.3515,0.036292,90.041451
8ffd06f9-f10f-4aeb-8ef2-57f8bb8f0f8e,9,assistant,5365,1,0.2604,0.035833,192.244263
8ffd06f9-f10f-4aeb-8ef2-57f8bb8f0f8e,10,tool,47,0,0.6959,0.026953,1.266775
8ffd06f9-f10f-4aeb-8ef2-57f8bb8f0f8e,11,assistant,732,0,0.2856,0.085388,62.504318
59ddeaf9-0bcd-47b5-8847-f411db09f692,10,tool,4066,0,0.2641,0.039689,161.376587
59ddeaf9-0bcd-47b5-8847-f411db09f692,11,assistant,2078,0,0.4750,0.045534,94.618736
41364111-63cd-4e4f-a068-9616907802c5,12,tool,207,8,0.6312,0.632931,131.016800
41364111-63cd-4e4f-a068-9616907802c5,13,assistant,158,6,0.3563,0.010600,1.674790
41364111-63cd-4e4f-a068-9616907802c5,14,tool,379,7,0.5876,0.002727,1.033451
41364111-63cd-4e4f-a068-9616907802c5,15,assistant,651,7,0.5876,0.006242,4.063802
41364111-63cd-4e4f-a068-9616907802c5,16,tool,246,6,0.6175,0.090149,22.176579
41364111-63cd-4e4f-a068-9616907802c5,17,assistant,142,6,0.6130,0.004441,0.630634
41364111-63cd-4e4f-a068-9616907802c5,18,tool,63,5,0.5138,0.002182,0.137463
41364111-63cd-4e4f-a068-9616907802c5,19,assistant,222,5,0.5195,0.001916,0.425251
41364111-63cd-4e4f-a068-9616907802c5,20,tool,246,4,0.5462,0.000997,0.245176
41364111-63cd-4e4f-a068-9616907802c5,21,assistant,245,4,0.5550,0.003874,0.949160
41364111-63cd-4e4f-a068-9616907802c5,22,tool,76,3,0.5550,0.003232,0.245611
41364111-63cd-4e4f-a068-9616907802c5,23,assistant,120,3,0.4901,0.004324,0.518894
41364111-63cd-4e4f-a068-9616907802c5,24,tool,76,2,0.5876,0.003515,0.267137
41364111-63cd-4e4f-a068-9616907802c5,25,assistant,101,2,0.4775,0.005322,0.537512
41364111-63cd-4e4f-a068-9616907802c5,26,tool,76,1,0.4786,0.001436,0.109118
41364111-63cd-4e4f-a068-9616907802c5,27,assistant,2585,1,0.3947,0.010238,26.464012
41364111-63cd-4e4f-a068-9616907802c5,28,tool,89,0,0.6501,0.016087,1.431767
41364111-63cd-4e4f-a068-9616907802c5,29,assistant,462,0,0.4762,0.138717,64.087181
637d6462-65e6-42a3-954d-3f5129f2a3b6,12,tool,631,7,0.3094,0.247063,155.897034
637d6462-65e6-42a3-954d-3f5129f2a3b6,13,assistant,82,3,0.3094,0.007744,0.635002
637d6462-65e6-42a3-954d-3f5129f2a3b6,14,tool,3196,2,0.3625,0.003899,12.461543
637d6462-65e6-42a3-954d-3f5129f2a3b6,15,assistant,248,4,0.3745,0.010451,2.591951
637d6462-65e6-42a3-954d-3f5129f2a3b6,16,tool,48,5,0.5412,0.007042,0.338028
637d6462-65e6-42a3-954d-3f5129f2a3b6,17,assistant,214,0,0.2538,0.016019,3.428171
