task_id,msg_index,role,tokens,cites,mean_cos_sim,max_cos_sim
0c699abf-bc77-454a-8197-d56a2294098a,1,user,20,4,0.5730,0.7292
0c699abf-bc77-454a-8197-d56a2294098a,2,assistant,88,3,0.6724,0.7790
0c699abf-bc77-454a-8197-d56a2294098a,3,tool,45,0,0.4765,0.6840
0c699abf-bc77-454a-8197-d56a2294098a,4,assistant,116,2,0.6365,0.8496
0c699abf-bc77-454a-8197-d56a2294098a,5,tool,90,0,0.4014,0.5370
0c699abf-bc77-454a-8197-d56a2294098a,6,assistant,275,1,0.7035,0.8673
0c699abf-bc77-454a-8197-d56a2294098a,7,tool,506,0,0.2605,0.3890
0c699abf-bc77-454a-8197-d56a2294098a,8,assistant,100,1,0.7085,0.7548
0c699abf-bc77-454a-8197-d56a2294098a,9,tool,1937,1,0.2708,0.3432
0c699abf-bc77-454a-8197-d56a2294098a,10,assistant,78,0,0.5014,0.5014
0c699abf-bc77-454a-8197-d56a2294098a,11,tool,362,0,0.2619,0.2619
67584368-7a5c-4d7a-b682-40ee44ff8c61,1,user,57,1,0.7869,0.8013
67584368-7a5c-4d7a-b682-40ee44ff8c61,2,assistant,322,0,0.7515,0.7515
67584368-7a5c-4d7a-b682-40ee44ff8c61,3,tool,133,0,0.4495,0.4495
71beb770-2c25-4376-b4db-0d2eaa7c2234,1,user,27,3,0.4420,0.6302
71beb770-2c25-4376-b4db-0d2eaa7c2234,2,assistant,190,4,0.5427,0.7003
71beb770-2c25-4376-b4db-0d2eaa7c2234,3,tool,90,2,0.4162,0.7009
71beb770-2c25-4376-b4db-0d2eaa7c2234,4,assistant,106,2,0.4347,0.7787
71beb770-2c25-4376-b4db-0d2eaa7c2234,5,tool,6558,3,0.4302,0.4827
71beb770-2c25-4376-b4db-0d2eaa7c2234,6,assistant,96,1,0.4569,0.5784
71beb770-2c25-4376-b4db-0d2eaa7c2234,7,tool,33070,2,0.2334,0.2751
71beb770-2c25-4376-b4db-0d2eaa7c2234,8,assistant,120,1,0.6333,0.7031
71beb770-2c25-4376-b4db-0d2eaa7c2234,9,tool,13188,1,0.4225,0.4236
71beb770-2c25-4376-b4db-0d2eaa7c2234,10,assistant,111,0,0.3637,0.3637
71beb770-2c25-4376-b4db-0d2eaa7c2234,11,tool,7910,0,0.3515,0.3515
8ffd06f9-f10f-4aeb-8ef2-57f8bb8f0f8e,1,user,27,4,0.6304,0.7674
8ffd06f9-f10f-4aeb-8ef2-57f8bb8f0f8e,2,assistant,165,3,0.6552,0.7622
