task_id,n_msgs,total_tokens,tokens_system,tokens_user,tokens_assistant,tokens_tool,share_tool_of_total,share_tool_of_nonsystem,share_assistant_of_nonsystem
0c699abf-bc77-454a-8197-d56a2294098a,13,10171,6194,20,1017,2940,0.289057123193393,0.7392506914759869,0.25572039225546894
67584368-7a5c-4d7a-b682-40ee44ff8c61,5,7069,6194,57,685,133,0.01881454236808601,0.152,0.7828571428571428
71beb770-2c25-4376-b4db-0d2eaa7c2234,13,70157,6194,27,3120,60816,0.8668557663526092,0.9507996810656161,0.048778199896815345
8ffd06f9-f10f-4aeb-8ef2-57f8bb8f0f8e,13,70005,6194,27,6581,57203,0.8171273480465681,0.8964441867389635,0.10313268872138033
59ddeaf9-0bcd-47b5-8847-f411db09f692,13,60306,6194,27,2877,51208,0.8491360726959175,0.9463335304553518,0.053167504435245413
41364111-63cd-4e4f-a068-9616907802c5,31,57946,6194,22,5524,46206,0.797397577054499,0.8928350595146082,0.10673983614159839
637d6462-65e6-42a3-954d-3f5129f2a3b6,31,28323,6194,19,2120,19990,0.7057868163683225,0.9033395092412672,0.09580188892403634
aaf09a9a-950d-4bf0-a21a-d7d10047d51c,34,83689,6194,66,3249,74180,0.8863769432063952,0.9572230466481708,0.04192528550229047
7c1d3f5a-dd10-4e3c-a0f1-a94bc2a010bd,25,61931,6194,39,9715,45983,0.7424876071757278,0.8249995514649155,0.1743007338033981
835d7635-aea6-48b4-96c4-206c5e95f083,34,51594,6194,58,19044,26298,0.509710431445517,0.5792511013215859,0.4194713656387665
3f4b79bf-7f27-48e9-b619-85f858dd59e2,34,64278,6194,55,35084,22945,0.3569650580291857,0.3950313339301701,0.6040217615866675
b92eecfe-0cff-4746-ae98-986f2512c084,34,72126,6194,63,10372,55497,0.7694451376757341,0.8417308742340593,0.15731359582600254
930977e3-cb4e-4bcd-8218-c717389c4c14,21,29822,6194,19,19436,4173,0.13993025283347865,0.17661249365159978,0.8225833756560014
e0faf24b-e135-412f-b89d-c90b263e677b,10,16355,6194,29,432,9700,0.5930907979211251,0.954630449758882,0.042515500442869794
66890ddc-faa5-4ca2-9f80-f751e2f8eed3,19,11627,6194,20,3939,1474,0.12677388836329234,0.27130498803607583,0.7250138045278851
4d2329c7-4e2a-4067-b4ee-451967d130e7,34,67811,6194,54,2407,59156,0.8723658403503857,0.9600597237775289,0.03906389470438353
1a2a12a6-0353-4326-9590-d8a5b5e56de5,34,21714,6194,67,12338,3115,0.14345583494519665,0.20070876288659795,0.7949742268041237
4143608f-6ca7-4f3b-af9c-63e2389306ae,7,8159,6194,38,974,953,0.11680352984434367,0.48498727735368957,0.4956743002544529
19be0b4f-b8d3-48f9-af88-6d22eda39812,17,22455,6194,27,3750,12484,0.555956357158762,0.7677264620872025,0.23061312342414367
4d970add-e084-4d3d-ab6a-e2d17adf6293,7,27652,6194,26,2297,19135,0.6919933458700999,0.8917420076428372,0.10704632304967844
d8afc89a-969c-4d4e-b19e-eaf9eaf81053,34,23416,6194,59,2877,14286,0.6100956610864366,0.8295203809081407,0.16705376843572176
6b062f7e-1668-49e5-b364-8e4ac8c6d149,5,8358,6194,19,1664,481,0.05754965302703996,0.2222735674676525,0.7689463955637708
4375060a-a136-4353-a0d2-d3c7e0d28952,23,16654,6194,33,6936,3491,0.20961931067611383,0.33374760994263863,0.6630975143403441
21e71c1c-8616-4fa4-b9ae-c4f48f88079d,34,48169,6194,65,2847,39063,0.810957254665864,0.9306253722453841,0.06782608695652174
d34beda0-2a3d-40fd-9373-56267c6330a6,16,68199,6194,19,6134,55852,0.8189562896816669,0.900766067252641,0.09892750584630272
51c83727-0266-42e9-943f-f2186bc19e56,24,66945,6194,27,24420,36304,0.5422959145567257,0.5975868709980082,0.4019686918733848
268a8715-aca4-4edd-908c-60feff040be7,16,26293,6194,25,16742,3332,0.12672574449473245,0.16577939200955272,0.8329767650131847
1bab22d7-39f7-4f86-82ac-420db3a53d39,9,16883,6194,22,826,9841,0.5828940354202452,0.9206661053419403,0.07727570399476097
89f00409-edc2-48ec-8774-6080cb79d28a,5,6519,6194,27,231,67,0.010277649946310783,0.20615384615384616,0.7107692307692308
6afb4072-ee38-4f5f-b034-24672eb7771a,25,58177,6194,23,7101,44859,0.7710779173900338,0.8629551968912914,0.13660235076852048
903bb83a-4a52-4850-8fa3-128c213d04d0,31,87120,6194,18,19565,61343,0.7041207529843894,0.758013493809159,0.24176408076514347
e13cb9b7-d642-4e3e-a34d-64c716c6a43b,34,53441,6194,54,3790,43403,0.8121666884975954,0.9186403369526107,0.0802167333375664
1dd650a9-50b2-447b-92df-cee37a2acd2b,7,26425,6194,21,612,19598,0.7416461684011353,0.96871138352034,0.030250605506401067
d092add3-22b7-481a-9dc0-3c454f3a6a2d,7,6731,6194,29,396,112,0.016639429505274105,0.2085661080074488,0.7374301675977654
ba269179-b925-4e01-9b6c-5cb0128ef00b,6,6541,6194,19,190,138,0.021097691484482494,0.3976945244956772,0.547550432276657
91ac7a33-f316-4381-8b50-70b52e0c9ce3,9,6947,6194,19,506,228,0.03281992226860515,0.30278884462151395,0.6719787516600265
95964889-66a6-484f-af09-ac91da7a2a00,6,6470,6194,21,143,112,0.01731066460587326,0.4057971014492754,0.5181159420289855
9dc4d089-dafb-4423-a37f-c0b97b678c24,5,10520,6194,26,3135,1165,0.11074144486692016,0.2693018955154877,0.7246879334257975
35bea426-1ba7-40d4-b82d-b9e61e73d42f,7,6986,6194,26,631,135,0.01932436301173776,0.17045454545454544,0.7967171717171717
5d112b1f-46b3-47e6-801b-55f3a5043f08,34,45468,6194,59,37371,1844,0.0405559954253541,0.04695218210520955,0.9515455517645262
9ac64f5c-f4d5-4c75-8e5d-d9c4127c60a4,34,35233,6194,67,6657,22315,0.6333550932364544,0.7684493267674507,0.2292434312476325
9c74299e-0dee-476f-b510-cc9e2970ff25,17,42816,6194,26,1965,34631,0.8088331464872944,0.9456337720495877,0.05365627218611763
cfb2b443-e02c-4a29-b2e2-5e5fb8a1d202,18,59816,6194,19,6600,47003,0.7857930988364317,0.8765618589384954,0.12308380888441312
4fcdf347-4875-4b28-840f-4cbccc126157,21,122699,6194,21,2180,114304,0.9315805344786836,0.9811081069481996,0.01871164327711257
e6d0c851-dd71-41e2-8ac7-c3186eadf526,5,7114,6194,26,670,224,0.031487208321619345,0.24347826086956523,0.7282608695652174
a5c094fc-f083-4b14-865c-b472ecff8905,25,27365,6194,31,7448,13692,0.5003471587794628,0.6467337395493836,0.3518019932927117
aaf70cd9-abc5-444f-91a0-d5a3f3b149c3,9,19729,6194,28,1930,11577,0.5868011556591819,0.8553380125600295,0.1425932766900628
9d68e581-fbce-4ac7-9b48-3ca7f0c02194,34,33456,6194,62,11212,15988,0.47788139646102346,0.5864573398870222,0.41126843225001836
624c8df5-d6cd-4c8f-8a68-24aa702ecd9d,19,25583,6194,27,7463,11899,0.46511355196810383,0.6136984888338749,0.38490896900304294
a9ec1332-46fd-4962-a0cc-ad4526f18cae,34,53761,6194,54,3400,44113,0.8205390524729823,0.9273866335905144,0.07147812559127126
05ac4705-47e0-4c8a-a2d6-8a268ee5bbc7,6,8490,6194,24,1189,1083,0.12756183745583038,0.47168989547038326,0.5178571428571429
060d3906-fb43-4b6a-9f84-a3103381e614,6,7162,6194,18,263,687,0.0959229265568277,0.7097107438016529,0.27169421487603307
3dc61687-7742-47cb-b13b-925b74365a19,31,24287,6194,18,2489,15586,0.6417424959855067,0.8614381252418062,0.13756701486762837
dee0ef42-063b-4b39-a395-39e9a5a5d242,30,69300,6194,26,2021,61059,0.8810822510822511,0.9675625138655596,0.03202548093683644
0aace1f5-f64d-48d0-a8c1-e545ad277667,7,45097,6194,25,2577,36301,0.8049537663259196,0.9331156980181478,0.06624167801969
262b40c8-0dd4-4b3e-a91e-2ca8d9066ac2,34,83963,6194,57,5944,71768,0.8547574526874933,0.9228355771579936,0.07643148298165078
cf79e3fb-cd17-4d18-aeda-64520e1a05ae,34,81965,6194,60,16658,59053,0.7204660525834198,0.7793614971427063,0.2198466431748294
8360ae52-cd6c-4716-a508-34f5571337d9,10,65204,6194,39,1897,57074,0.8753143978897,0.9671920013557024,0.032147093712930015
86253e59-7622-426c-9b80-576672a31dba,31,66381,6194,26,2874,57287,0.863002967716666,0.9518168375230531,0.0477511755030156
7f4a2663-f3c3-4f91-95ee-eb1b2297d4c3,5,10550,6194,31,2916,1409,0.13355450236966826,0.3234618916437098,0.6694214876033058
946e57e0-588a-4fea-8706-55d3494484a4,34,18092,6194,62,10330,1506,0.08324121158523104,0.12657589510842157,0.8682131450663977
1f6fddff-3929-4a5b-8212-7996a749b303,34,41831,6194,59,10956,24622,0.5886065358227152,0.6909111316889749,0.3074332856301035
0c082354-fa8a-491d-aa69-f31716080171,34,78928,6194,53,6547,66134,0.8379028988445165,0.9092583935985922,0.09001292380454808
b582d60f-7ba1-4b59-9f28-dbd9690e8d23,11,50963,6194,26,1405,43338,0.8503816494319408,0.968035917710916,0.031383323281735126
463f274d-2c91-4029-b696-572c3f41bf74,7,9633,6194,28,926,2485,0.2579674037163916,0.7225937772608316,0.26926432102355335
4176c822-4861-4299-8d1f-00b6cf36a64e,5,10024,6194,21,2484,1325,0.13218276137270552,0.34595300261096606,0.6485639686684073
