task_id,policy,step,n_messages,shared_blocks,curr_blocks,uncached_blocks,is_compaction
ac_agentic_coding_8k-00012,recorded,0,1,0,28,28,0
ac_agentic_coding_8k-00012,recorded,1,3,27,30,3,0
ac_agentic_coding_8k-00012,recorded,2,5,29,30,1,0
ac_agentic_coding_8k-00012,recorded,3,7,29,31,2,0
ac_agentic_coding_8k-00012,recorded,4,9,30,48,18,0
ac_agentic_coding_8k-00012,recorded,5,11,47,49,2,0
ac_agentic_coding_8k-00012,recorded,6,13,48,59,11,0
ac_agentic_coding_8k-00012,recorded,7,15,58,62,4,0
ac_agentic_coding_8k-00012,recorded,8,17,61,68,7,0
ac_agentic_coding_8k-00012,recorded,9,19,67,74,7,0
ac_agentic_coding_8k-00012,recorded,10,21,73,74,1,0
ac_agentic_coding_8k-00012,recorded,11,23,73,78,5,0
ac_agentic_coding_8k-00012,recorded,12,25,77,79,2,0
ac_agentic_coding_8k-00012,recorded,13,27,78,82,4,0
ac_agentic_coding_8k-00012,recorded,14,29,81,86,5,0
ac_agentic_coding_8k-00012,recorded,15,31,85,89,4,0
ac_agentic_coding_8k-00012,recorded,16,33,88,93,5,0
ac_agentic_coding_8k-00012,recorded,17,35,92,98,6,0
ac_agentic_coding_8k-00012,recorded,18,37,97,100,3,0
ac_agentic_coding_8k-00012,recorded,19,39,99,101,2,0
ac_agentic_coding_8k-00012,recorded,20,41,100,108,8,0
ac_agentic_coding_8k-00012,recorded,21,43,107,115,8,0
ac_agentic_coding_8k-00012,recorded,22,45,114,118,4,0
ac_agentic_coding_8k-00012,recorded,23,47,117,120,3,0
ac_agentic_coding_8k-00012,recorded,24,49,119,122,3,0
ac_agentic_coding_8k-00012,recorded,25,51,121,124,3,0
ac_agentic_coding_8k-00012,recorded,26,53,123,126,3,0
ac_agentic_coding_8k-00012,recorded,27,55,125,128,3,0
ac_agentic_coding_8k-00012,recorded,28,57,127,129,2,0
ac_agentic_coding_8k-00012,recorded,29,59,128,132,4,0
ac_agentic_coding_8k-00012,recorded,30,61,131,133,2,0
ac_agentic_coding_8k-00012,recorded,31,63,132,134,2,0
ac_agentic_coding_8k-00012,recorded,32,65,133,134,1,0
ac_agentic_coding_8k-00012,recorded,33,67,133,137,4,0
ac_agentic_coding_8k-00012,recorded,34,69,136,140,4,0
ac_agentic_coding_8k-00012,recorded,35,71,139,141,2,0
ac_agentic_coding_8k-00012,recorded,36,73,140,142,2,0
ac_agentic_coding_8k-00012,recorded,37,75,141,144,3,0
ac_agentic_coding_8k-00012,recorded,38,77,143,153,10,0
ac_agentic_coding_8k-00012,recorded,39,79,152,156,4,0
ac_agentic_coding_8k-00012,recorded,40,81,155,158,3,0
ac_agentic_coding_8k-00012,recorded,41,83,157,163,6,0
ac_agentic_coding_8k-00012,recorded,42,85,162,166,4,0
ac_agentic_coding_8k-00012,recorded,43,87,165,169,4,0
ac_agentic_coding_8k-00012,recorded,44,89,168,170,2,0
ac_agentic_coding_8k-00012,recorded,45,91,169,175,6,0
ac_agentic_coding_8k-00012,recorded,46,93,174,181,7,0
ac_agentic_coding_8k-00012,recorded,47,95,180,187,7,0
ac_agentic_coding_8k-00012,recorded,48,97,186,190,4,0
ac_agentic_coding_8k-00012,recorded,49,99,189,191,2,0
ac_agentic_coding_8k-00012,recorded,50,101,190,196,6,0
ac_agentic_coding_8k-00012,recorded,51,103,195,200,5,0
ac_agentic_coding_8k-00012,recorded,52,105,199,201,2,0
ac_agentic_coding_8k-00012,recorded,53,107,200,205,5,0
ac_agentic_coding_8k-00012,recorded,54,109,204,210,6,0
ac_agentic_coding_8k-00012,recorded,55,111,209,214,5,0
ac_agentic_coding_8k-00012,recorded,56,113,213,217,4,0
ac_agentic_coding_8k-00012,recorded,57,115,216,221,5,0
ac_agentic_coding_8k-00012,recorded,58,117,220,226,6,0
ac_agentic_coding_8k-00012,recorded,59,119,225,228,3,0
ac_agentic_coding_8k-00012,recorded,60,121,227,230,3,0
ac_agentic_coding_8k-00012,recorded,61,123,229,234,5,0
ac_agentic_coding_8k-00012,recorded,62,125,233,241,8,0
ac_agentic_coding_8k-00012,recorded,63,127,240,243,3,0
ac_agentic_coding_8k-00012,recorded,64,129,242,245,3,0
ac_agentic_coding_8k-00012,recorded,65,131,244,249,5,0
ac_agentic_coding_8k-00012,recorded,66,133,248,249,1,0
ac_agentic_coding_8k-00012,recorded,67,135,248,250,2,0
ac_agentic_coding_8k-00012,recorded,68,137,249,252,3,0
ac_agentic_coding_8k-00012,recorded,69,139,251,259,8,0
ac_agentic_coding_8k-00012,recorded,70,141,258,261,3,0
ac_agentic_coding_8k-00012,recorded,71,143,260,264,4,0
ac_agentic_coding_8k-00012,recorded,72,145,263,266,3,0
ac_agentic_coding_8k-00012,recorded,73,147,265,269,4,0
ac_agentic_coding_8k-00012,recorded,74,149,268,271,3,0
ac_agentic_coding_8k-00012,recorded,75,151,270,277,7,0
ac_agentic_coding_8k-00012,recorded,76,153,276,279,3,0
ac_agentic_coding_8k-00012,recorded,77,155,278,279,1,0
ac_office_work_8k-00011,recorded,0,1,0,36,36,0
ac_office_work_8k-00011,recorded,1,3,35,39,4,0
ac_office_work_8k-00011,recorded,2,5,38,40,2,0
ac_office_work_8k-00011,recorded,3,7,39,44,5,0
ac_office_work_8k-00011,recorded,4,9,43,45,2,0
ac_office_work_8k-00011,recorded,5,11,44,46,2,0
ac_office_work_8k-00011,recorded,6,13,45,47,2,0
ac_office_work_8k-00011,recorded,7,15,46,47,1,0
ac_office_work_8k-00011,recorded,8,17,46,48,2,0
ac_office_work_8k-00011,recorded,9,19,47,48,1,0
ac_office_work_8k-00011,recorded,10,21,47,51,4,0
ac_office_work_8k-00011,recorded,11,23,50,52,2,0
ac_office_work_8k-00011,recorded,12,25,51,52,1,0
ac_office_work_8k-00011,recorded,13,27,51,52,1,0
ac_office_work_8k-00011,recorded,14,29,51,65,14,0
