benchmark,policy,cost_model,n,mean_cost_per_task,mean_compactions
ac_agentic_coding_8k,boundary_aware,anthropic/claude-haiku-4-5,50,0.133877,3.94
ac_agentic_coding_8k,boundary_aware,anthropic/claude-sonnet-4-6,50,0.401630,3.94
ac_agentic_coding_8k,boundary_aware,openai/gpt-4.1,50,0.303336,3.94
ac_agentic_coding_8k,boundary_aware,openai/gpt-4.1-mini,50,0.060667,3.94
ac_agentic_coding_8k,boundary_aware,qwen/qwen3-30b-a3b,50,0.012733,3.94
ac_agentic_coding_8k,microcompact,anthropic/claude-haiku-4-5,50,0.060217,2.40
ac_agentic_coding_8k,microcompact,anthropic/claude-sonnet-4-6,50,0.180651,2.40
ac_agentic_coding_8k,microcompact,openai/gpt-4.1,50,0.139349,2.40
ac_agentic_coding_8k,microcompact,openai/gpt-4.1-mini,50,0.027870,2.40
ac_agentic_coding_8k,microcompact,qwen/qwen3-30b-a3b,50,0.005367,2.40
ac_agentic_coding_8k,naive_summary,anthropic/claude-haiku-4-5,50,0.190873,11.68
ac_agentic_coding_8k,naive_summary,anthropic/claude-sonnet-4-6,50,0.572619,11.68
ac_agentic_coding_8k,naive_summary,openai/gpt-4.1,50,0.400129,11.68
ac_agentic_coding_8k,naive_summary,openai/gpt-4.1-mini,50,0.080026,11.68
ac_agentic_coding_8k,naive_summary,qwen/qwen3-30b-a3b,50,0.018433,11.68
ac_agentic_coding_8k,none,anthropic/claude-haiku-4-5,50,0.056616,0.00
ac_agentic_coding_8k,none,anthropic/claude-sonnet-4-6,50,0.169849,0.00
ac_agentic_coding_8k,none,openai/gpt-4.1,50,0.170236,0.00
ac_agentic_coding_8k,none,openai/gpt-4.1-mini,50,0.034047,0.00
ac_agentic_coding_8k,none,qwen/qwen3-30b-a3b,50,0.005007,0.00
ac_agentic_coding_8k,prefix_preserving,anthropic/claude-haiku-4-5,50,0.137866,5.50
ac_agentic_coding_8k,prefix_preserving,anthropic/claude-sonnet-4-6,50,0.413599,5.50
ac_agentic_coding_8k,prefix_preserving,openai/gpt-4.1,50,0.310165,5.50
ac_agentic_coding_8k,prefix_preserving,openai/gpt-4.1-mini,50,0.062033,5.50
ac_agentic_coding_8k,prefix_preserving,qwen/qwen3-30b-a3b,50,0.013132,5.50
ac_code_qa_8k,boundary_aware,anthropic/claude-haiku-4-5,50,0.155933,3.70
ac_code_qa_8k,boundary_aware,anthropic/claude-sonnet-4-6,50,0.467800,3.70
ac_code_qa_8k,boundary_aware,openai/gpt-4.1,50,0.344369,3.70
ac_code_qa_8k,boundary_aware,openai/gpt-4.1-mini,50,0.068874,3.70
ac_code_qa_8k,boundary_aware,qwen/qwen3-30b-a3b,50,0.015065,3.70
ac_code_qa_8k,microcompact,anthropic/claude-haiku-4-5,50,0.083191,4.94
ac_code_qa_8k,microcompact,anthropic/claude-sonnet-4-6,50,0.249573,4.94
ac_code_qa_8k,microcompact,openai/gpt-4.1,50,0.175937,4.94
ac_code_qa_8k,microcompact,openai/gpt-4.1-mini,50,0.035187,4.94
ac_code_qa_8k,microcompact,qwen/qwen3-30b-a3b,50,0.007790,4.94
ac_code_qa_8k,naive_summary,anthropic/claude-haiku-4-5,50,0.267533,8.56
ac_code_qa_8k,naive_summary,anthropic/claude-sonnet-4-6,50,0.802600,8.56
ac_code_qa_8k,naive_summary,openai/gpt-4.1,50,0.536761,8.56
ac_code_qa_8k,naive_summary,openai/gpt-4.1-mini,50,0.107352,8.56
ac_code_qa_8k,naive_summary,qwen/qwen3-30b-a3b,50,0.026225,8.56
ac_code_qa_8k,none,anthropic/claude-haiku-4-5,50,0.062712,0.00
