benchmark,policy,cost_model,n,mean_cost_per_task,mean_compactions
ac_agentic_coding_8k,boundary_aware,anthropic/claude-haiku-4-5,200,0.060388,0.01
ac_agentic_coding_8k,boundary_aware,anthropic/claude-sonnet-4-6,200,0.181163,0.01
ac_agentic_coding_8k,boundary_aware,openai/gpt-4.1,200,0.190943,0.01
ac_agentic_coding_8k,boundary_aware,openai/gpt-4.1-mini,200,0.038189,0.01
ac_agentic_coding_8k,boundary_aware,qwen/qwen3-30b-a3b,200,0.005356,0.01
ac_agentic_coding_8k,microcompact,anthropic/claude-haiku-4-5,200,0.094464,2.48
ac_agentic_coding_8k,microcompact,anthropic/claude-sonnet-4-6,200,0.283393,2.48
ac_agentic_coding_8k,microcompact,openai/gpt-4.1,200,0.265179,2.48
ac_agentic_coding_8k,microcompact,openai/gpt-4.1-mini,200,0.053036,2.48
ac_agentic_coding_8k,microcompact,qwen/qwen3-30b-a3b,200,0.007671,2.48
ac_agentic_coding_8k,naive_summary,anthropic/claude-haiku-4-5,200,0.056932,0.14
ac_agentic_coding_8k,naive_summary,anthropic/claude-sonnet-4-6,200,0.170795,0.14
ac_agentic_coding_8k,naive_summary,openai/gpt-4.1,200,0.169473,0.14
ac_agentic_coding_8k,naive_summary,openai/gpt-4.1-mini,200,0.033895,0.14
ac_agentic_coding_8k,naive_summary,qwen/qwen3-30b-a3b,200,0.004964,0.14
ac_agentic_coding_8k,none,anthropic/claude-haiku-4-5,200,0.060425,0.00
ac_agentic_coding_8k,none,anthropic/claude-sonnet-4-6,200,0.181275,0.00
ac_agentic_coding_8k,none,openai/gpt-4.1,200,0.191583,0.00
ac_agentic_coding_8k,none,openai/gpt-4.1-mini,200,0.038317,0.00
ac_agentic_coding_8k,none,qwen/qwen3-30b-a3b,200,0.005364,0.00
ac_agentic_coding_8k,prefix_preserving,anthropic/claude-haiku-4-5,200,0.058318,0.23
ac_agentic_coding_8k,prefix_preserving,anthropic/claude-sonnet-4-6,200,0.174954,0.23
ac_agentic_coding_8k,prefix_preserving,openai/gpt-4.1,200,0.176102,0.23
ac_agentic_coding_8k,prefix_preserving,openai/gpt-4.1-mini,200,0.035220,0.23
ac_agentic_coding_8k,prefix_preserving,qwen/qwen3-30b-a3b,200,0.005110,0.23
ac_code_qa_8k,boundary_aware,anthropic/claude-haiku-4-5,200,0.070707,0.10
ac_code_qa_8k,boundary_aware,anthropic/claude-sonnet-4-6,200,0.212120,0.10
ac_code_qa_8k,boundary_aware,openai/gpt-4.1,200,0.215761,0.10
ac_code_qa_8k,boundary_aware,openai/gpt-4.1-mini,200,0.043152,0.10
ac_code_qa_8k,boundary_aware,qwen/qwen3-30b-a3b,200,0.006460,0.10
ac_code_qa_8k,microcompact,anthropic/claude-haiku-4-5,200,0.172163,4.81
ac_code_qa_8k,microcompact,anthropic/claude-sonnet-4-6,200,0.516490,4.81
ac_code_qa_8k,microcompact,openai/gpt-4.1,200,0.441508,4.81
ac_code_qa_8k,microcompact,openai/gpt-4.1-mini,200,0.088302,4.81
