task_id,msg_index,role,n_msg_tokens,attn_total,attn_per_token
0c699abf-bc77-454a-8197-d56a2294098a,8,tool,214,46.414371,0.216890
0c699abf-bc77-454a-8197-d56a2294098a,9,assistant,77,0.694825,0.009024
0c699abf-bc77-454a-8197-d56a2294098a,10,tool,370,1.795753,0.004853
0c699abf-bc77-454a-8197-d56a2294098a,11,assistant,363,15.089279,0.041568
67584368-7a5c-4d7a-b682-40ee44ff8c61,0,user,62,195.113449,3.146991
67584368-7a5c-4d7a-b682-40ee44ff8c61,1,assistant,319,10.710359,0.033575
67584368-7a5c-4d7a-b682-40ee44ff8c61,2,tool,134,2.857142,0.021322
67584368-7a5c-4d7a-b682-40ee44ff8c61,3,assistant,366,47.298912,0.129232
71beb770-2c25-4376-b4db-0d2eaa7c2234,10,tool,5711,181.987518,0.031866
71beb770-2c25-4376-b4db-0d2eaa7c2234,11,assistant,2481,74.021317,0.029835
8ffd06f9-f10f-4aeb-8ef2-57f8bb8f0f8e,8,tool,2031,182.520264,0.089867
8ffd06f9-f10f-4aeb-8ef2-57f8bb8f0f8e,9,assistant,5382,29.965828,0.005568
8ffd06f9-f10f-4aeb-8ef2-57f8bb8f0f8e,10,tool,47,0.527959,0.011233
8ffd06f9-f10f-4aeb-8ef2-57f8bb8f0f8e,11,assistant,732,42.959419,0.058688
59ddeaf9-0bcd-47b5-8847-f411db09f692,10,tool,6114,183.305450,0.029981
59ddeaf9-0bcd-47b5-8847-f411db09f692,11,assistant,2078,72.708344,0.034990
41364111-63cd-4e4f-a068-9616907802c5,12,tool,2255,179.246414,0.079488
41364111-63cd-4e4f-a068-9616907802c5,13,assistant,158,1.130561,0.007155
41364111-63cd-4e4f-a068-9616907802c5,14,tool,379,0.670758,0.001770
41364111-63cd-4e4f-a068-9616907802c5,15,assistant,651,4.616457,0.007091
41364111-63cd-4e4f-a068-9616907802c5,16,tool,246,0.292227,0.001188
41364111-63cd-4e4f-a068-9616907802c5,17,assistant,142,0.308893,0.002175
41364111-63cd-4e4f-a068-9616907802c5,18,tool,63,0.097769,0.001552
41364111-63cd-4e4f-a068-9616907802c5,19,assistant,222,0.293194,0.001321
41364111-63cd-4e4f-a068-9616907802c5,20,tool,246,0.174212,0.000708
41364111-63cd-4e4f-a068-9616907802c5,21,assistant,245,1.039430,0.004243
41364111-63cd-4e4f-a068-9616907802c5,22,tool,76,0.334950,0.004407
41364111-63cd-4e4f-a068-9616907802c5,23,assistant,120,0.602803,0.005023
41364111-63cd-4e4f-a068-9616907802c5,24,tool,76,0.156926,0.002065
41364111-63cd-4e4f-a068-9616907802c5,25,assistant,101,0.773611,0.007660
41364111-63cd-4e4f-a068-9616907802c5,26,tool,76,0.100224,0.001319
41364111-63cd-4e4f-a068-9616907802c5,27,assistant,2585,22.728815,0.008793
41364111-63cd-4e4f-a068-9616907802c5,28,tool,89,0.973418,0.010937
41364111-63cd-4e4f-a068-9616907802c5,29,assistant,462,42.470993,0.091929
637d6462-65e6-42a3-954d-3f5129f2a3b6,6,tool,1059,186.339493,0.175958
637d6462-65e6-42a3-954d-3f5129f2a3b6,7,assistant,99,0.575276,0.005811
637d6462-65e6-42a3-954d-3f5129f2a3b6,8,tool,146,0.102453,0.000702
637d6462-65e6-42a3-954d-3f5129f2a3b6,9,assistant,71,0.235761,0.003321
637d6462-65e6-42a3-954d-3f5129f2a3b6,10,tool,71,0.014256,0.000201
637d6462-65e6-42a3-954d-3f5129f2a3b6,11,assistant,75,0.143486,0.001913
637d6462-65e6-42a3-954d-3f5129f2a3b6,12,tool,1158,0.431570,0.000373
637d6462-65e6-42a3-954d-3f5129f2a3b6,13,assistant,82,0.184084,0.002245
637d6462-65e6-42a3-954d-3f5129f2a3b6,14,tool,3196,4.229870,0.001323
637d6462-65e6-42a3-954d-3f5129f2a3b6,15,assistant,248,2.193769,0.008846
637d6462-65e6-42a3-954d-3f5129f2a3b6,16,tool,48,0.099279,0.002068
637d6462-65e6-42a3-954d-3f5129f2a3b6,17,assistant,214,3.809510,0.017801
637d6462-65e6-42a3-954d-3f5129f2a3b6,18,tool,65,0.225757,0.003473
637d6462-65e6-42a3-954d-3f5129f2a3b6,19,assistant,73,1.453053,0.019905
637d6462-65e6-42a3-954d-3f5129f2a3b6,20,tool,65,0.171544,0.002639
637d6462-65e6-42a3-954d-3f5129f2a3b6,21,assistant,83,1.198626,0.014441
637d6462-65e6-42a3-954d-3f5129f2a3b6,22,tool,131,0.778344,0.005942
637d6462-65e6-42a3-954d-3f5129f2a3b6,23,assistant,76,0.603058,0.007935
637d6462-65e6-42a3-954d-3f5129f2a3b6,24,tool,185,0.737076,0.003984
